step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
55,2024-09-26 04:35:00,-1.8709743891823736,99615.90134505476,-384.09865494523433,-9.961590134505476,1,1,-46.774359729559336
56,2024-09-26 04:40:00,-0.5568227614805387,99615.90134505476,-384.09865494523433,-27.84113807402693,1,1,0.0
57,2024-09-26 04:45:00,-0.23499089856939068,99615.90134505476,-384.09865494523433,-11.749544928469533,1,1,0.0
58,2024-09-26 04:50:00,-1.0472158505467024,99589.7209487911,-410.2790512089019,-9.95897209487911,-1,0,-26.180396263667564
59,2024-09-26 04:55:00,-0.002543750803778444,99589.7209487911,-410.2790512089019,-0.1271875401889222,-1,0,0.0
60,2024-09-26 05:00:00,-0.002543750803778444,99589.7209487911,-410.2790512089019,-0.1271875401889222,-1,0,0.0
61,2024-09-26 05:05:00,-0.16342749806212864,99589.7209487911,-410.2790512089019,-8.171374903106432,-1,0,0.0
62,2024-09-26 05:10:00,-0.36006318915593244,99589.7209487911,-410.2790512089019,-18.00315945779662,-1,0,0.0
63,2024-09-26 05:15:00,-0.6639547117553029,99589.7209487911,-410.2790512089019,-33.197735587765145,-1,0,0.0
64,2024-09-26 05:20:00,-2.012405414596851,99539.41081342618,-460.58918657382316,-9.953941081342618,1,1,-50.31013536492127
65,2024-09-26 05:25:00,-0.6177182367534902,99523.96785750733,-476.0321424926604,-9.952396785750734,-1,0,-15.442955918837256
66,2024-09-26 05:30:00,-0.4133429625925662,99523.96785750733,-476.0321424926604,-20.66714812962831,-1,0,0.0
67,2024-09-26 05:35:00,-0.3419112869667157,99523.96785750733,-476.0321424926604,-17.095564348335785,-1,0,0.0
68,2024-09-26 05:40:00,-0.8676305616538682,99502.277093466,-497.7229065340071,-9.950227709346601,1,1,-21.690764041346707
69,2024-09-26 05:45:00,0.0509473368826173,99502.277093466,-497.7229065340071,2.547366844130865,1,1,0.0
70,2024-09-26 05:50:00,0.029965352677234422,99502.277093466,-497.7229065340071,1.6546815188768118,1,1,0.0
71,2024-09-26 05:55:00,-0.5817951631361468,99487.7322143876,-512.2677856124108,-9.948773221438758,-1,0,-14.54487907840367
72,2024-09-26 06:00:00,-2.259759369329771,99431.23823015435,-568.7617698456551,-9.943123823015437,1,1,-56.493984233244284
73,2024-09-26 06:05:00,-0.39503032008689987,99431.23823015435,-568.7617698456551,-19.751516004344992,1,1,0.0
74,2024-09-26 06:10:00,-1.330399615411021,99397.97823976907,-602.0217602309306,-9.939797823976908,-1,0,-33.25999038527552
